Session	aa	ab	ac	ad	ae	af	ag	ah	ai	aj	ak	al	am	an	ba	bb	bc	bd	be	bf	bg	bh	bi	bj	bk	bl	bm	bn	ca	cb	cc	cd	ce	cf	cg	ch	ci	cj	ck	cl	cm	cn	da	db	dc	dd	de	df	dg	dh	di	dj	dk	dl	dm	dn	ea	eb	ec	ed	ee	ef	eg	eh	ei	ej	ek	el	em	en	fa	fb	fc	fd	fe	ff	fg	fh	fi	fj	fk	fl	fm	fn	ga	gb	gc	gd	ge	gf	gg	gh	gi	gj	gk	gl	gm	gn	ha	hb	hc	hd	he	hf	hg	hh	hi	hj	hk	hl	hm	hn	ia	ib	ic	id	ie	if	ig	ih	ii	ij	ik	il	im	in	ja	jb	jc	jd	je	jf	jg	jh	ji	jj	jk	jl	jm	jn	ka	kb	kc	kd	ke	kf	kg	kh	ki	kj	kk	kl	km	kn	la	lb	lc	ld	le	lf	lg	lh	li	lj	lk	ll	lm	ma	mb	mc	md	me	mf	mg	mh	mi	mj	na	nb	nc	nd	ne	nf	ng	nh	ni	nj	oa	ob	oc	od	oe	of	og	oh	oi	oj	pa	pb	pc	pd	pe	pf	pg	ph	pi	pj	

aa	0.2598048128	0.028589852	0.0354417252	0.0223371152	0.0178604484	0.0272497836	0.03184574596	0.01906313864	0.01705086088	0.01709047482	0.0392073528	0.0290018916	0.01895832272	0.01622225716	0.0346798018	0.0268587544	0.0320175476	0.0340415836	0.03804326292	0.028699744	0.0301440856	0.037559178	0.0232744584	0.0324983024	0.02965625884	0.027676284016	0.034535325368	0.019531731732	0.0237161788	0.0564464984	0.0303379644	0.019172680028	0.01719107184	0.0341818704	0.01585216824	0.0299040776	0.0290020012	0.0208220676	0.0393122824	0.03527237788	0.03917034064	0.03744154272	0.02173464644	0.014370214216	0.0267210596	0.022806463	0.0412983552	0.0127529248	0.0279007136	0.0378940292	0.03732259044	0.0420897548	0.03605757	0.0279814916	0.0367118984	0.0250693444	0.0303464804	0.0274960564	0.01583558324	0.0244454888	0.01299823464	0.043616297096	0.02118157248	0.0270804796	0.02258277824	0.02095224	0.01800797216	0.027407863	0.0330234924	0.0193104548	0.0301788172	0.033135614	0.02413841328	0.026944348256	0.0154425912	0.025890240708	0.02480584452	0.0261314572	0.031766398	0.025797822	0.03792558288	0.03213101704	0.0353340608	0.0274211532	0.0231671796	0.02489212	0.0376575848	0.03306333408	0.02770403824	0.02209413336	0.0243769864	0.0412766852	0.0162103832	0.0566409064	0.021325364696	0.0267711884	0.0256825926	0.022022074	0.02680141604	0.03397332192	0.0228380344	0.0355973328	0.0325969392	0.05047189896	0.0351117512	0.02467946936	0.0139993824	0.02938503076	0.02563122	0.020585022	0.0199096784	0.01867156032	0.02138372984	0.026646634	0.049872254	0.0324144444	0.0336571308	0.018855914	0.022393026324	0.01537703744	0.03563818768	0.02544407492	0.035082044904	0.0371352856	0.022539858	0.0200924424	0.01977665664	0.02157616936	0.0282605004152	0.0561686692	0.055205468	0.0294080668	0.0448701176	0.0358624548	0.01540804148	0.0284662756	0.027420246	0.02304634632	0.0232791056	0.033624315044	0.02048378168	0.0249851884	0.020267466	0.036927130368	0.0529035176	0.0258929748	0.035130026	0.0188894466	0.02736508468	0.0319501028	0.02950561524	0.0197585048	0.03410378872	0.0226859286667	0.0172935636	0.02200016136	0.025371784	0.024790874	0.0478433192	0.047916942	0.025216656	0.02441263752	0.0377036412	0.0290492504	0.0176696992	0.02191936172	0.03906351684	0.0356043652	0.025043468	0.0570572336	0.0383719512	0.0251680504	0.0480505288	0.0180772884	0.0189366704	0.04136513156	0.02756628284	0.0320343192	0.0456649072	0.031460619	0.02851883756	0.0350574176	0.021010063052	0.02504433364	0.04563205772	0.0371266044	0.0384112964	0.02130411744	0.0358444252	0.04085363628	0.03635497948	0.0256146752	0.0288415096	0.01788114356	0.0261210012	0.02428086752	0.030403052	0.0318201088	0.0368042704	0.0340103052	0.0397026204	0.0190464592	0.02845260372	0.01919802976	0.0356572608	0.0232131372	0.01980339764	
ab	0.0285898484	0.313099108	0.0362152128	0.04010799932	0.03325565248	0.039488333556	0.0439754032	0.025549237396	0.0423393248	0.03618855524	0.07364066	0.065853488	0.03561122972	0.0294347812	0.0870293868	0.0393077048	0.0440271064	0.059193884	0.0788592496	0.02064424064	0.05284766	0.05139202	0.04210561688	0.04364659552	0.0323681354	0.0448507776	0.05160012048	0.03579130652	0.02627238152	0.0356874896	0.03959582668	0.0334322728	0.1324812756	0.040692866	0.039426132	0.0564853092	0.0444748544	0.04552035284	0.0599679792	0.0598177516	0.06945551	0.0228740884	0.04446960624	0.057015754	0.03527990616	0.2135753368	0.0423889096	0.0399332688	0.061627544	0.0421794172	0.0268615104	0.064015852	0.0398662436	0.0537939868	0.0436945368	0.0555664648	0.07977833512	0.0442589904	0.0355341536	0.0414793364	0.0585553944	0.0481631592	0.03678461016	0.092384676	0.0567598932	0.04063987604	0.0308298912	0.0510178428	0.0486910172	0.03726049	0.0579470116	0.039257802	0.0535758192	0.0726136076	0.023720494	0.0370642272	0.056740968	0.0307848864	0.0353413648	0.0486109692	0.044918356	0.0393055736	0.0615284688	0.043191004	0.0618876336	0.055006132	0.059403894	0.02870218752	0.0367040436	0.04036338304	0.0300776332	0.0599693216	0.0380513872	0.04142563768	0.035963168	0.0482526468	0.1288561308	0.0571841268	0.057964130236	0.071136834	0.0331127344	0.0594608644	0.0384732624	0.03675341848	0.0662465716	0.0262998308	0.0881617664	0.0597642772	0.033730462	0.0423923456	0.02108301528	0.0412674464	0.0358459632	0.0410635428	0.039769264	0.0892877048	0.106108072	0.0290743292	0.03966397752	0.0277041	0.0430998136	0.0197141602	0.121550736	0.0636008236	0.0551550108	0.0450756084	0.03392464464	0.0334053624	0.04411316	0.03875248072	0.0460769296	0.0329672548	0.0515284196	0.0927351844	0.0452647684	0.0882252128	0.0362879504	0.03454246752	0.03682302576	0.0478479352	0.0474127848	0.0520446332	0.04235379988	0.0310708212	0.062308868	0.048582784	0.05446162544	0.049142102	0.0929255268	0.0400244488	0.0708876232	0.029264138	0.0645127292	0.024526354	0.0568182384	0.0407879928	0.0529688812	0.0355038592	0.0651735764	0.0518378724	0.0342006096	0.068665624	0.0419027384	0.07208097344	0.0337156236	0.03187071264	0.104710654	0.063087554	0.0324729568	0.046610052	0.214856404	0.0757750252	0.04858477748	0.0314983468	0.030019258	0.0498951356	0.02078405756	0.0822681668	0.0597474392	0.0534047418	0.0567432776	0.0300109868	0.0294254628	0.046931544	0.0836424016	0.11632196608	0.0525859816	0.051753136	0.0904803696	0.09359889	0.07598037212	0.106946798	0.074161716	0.05793212	0.0305301432	0.0482942528	0.0628424972	0.04613564856	0.077452568	0.04235687456	0.0521919656	0.06064613012	0.0758719864	0.03309955912	0.05321672	0.040998822	0.0229014652	
ac	0.0354417256	0.0362152164	0.45054536	0.0334563972	0.0343304364	0.02708505456	0.0369036096	0.021126439016	0.0388665008	0.0269247276	0.0495483288	0.0376655964	0.02823424608	0.0278526136	0.0308036684	0.03239905536	0.0519194804	0.0521325464	0.043614704	0.0308107528	0.0368906008	0.03036014408	0.0352226332	0.057558466	0.0366093184	0.044113325	0.0419323268	0.0363498844	0.06101808896	0.0211539044	0.0453551356	0.0329027648	0.0350789588	0.091064680968	0.02696602528	0.0523816464	0.02956821072	0.034531854	0.031101098	0.0286241972	0.0417833468	0.0334088768	0.0251706192	0.034969706356	0.0267164136	0.0327800048	0.0514024868	0.0277525928	0.0307226008	0.033749102	0.0499646068	0.0396869584	0.0304122432	0.02657536752	0.0448923796	0.02267251136	0.05387736	0.0345858492	0.02631439624	0.03823236604	0.02363532796	0.0515459232	0.0356088816	0.0221616552	0.0314792828	0.041356048	0.033687092	0.0311607632	0.0412454536	0.03325409248	0.03463200928	0.0266399176	0.0469685244	0.0370836976	0.0378033888	0.02344534196	0.0506046288	0.0322302212	0.0472036428	0.039549846	0.04140669	0.0387880916	0.03810330404	0.04017156596	0.045049264	0.0423055096	0.0493853436	0.01935829948	0.02469061332	0.0568170872	0.0366813272	0.0251918716	0.02327280964	0.0468430248	0.0220016828	0.0391813224	0.0347794276	0.03963841856	0.02631152	0.0417112704	0.03198025056	0.0300489472	0.0335693292	0.0341592896	0.0495604528	0.08777419916	0.0270663716	0.043983714	0.0275043388	0.04391301188	0.03096813692	0.0439163466	0.0578429808	0.05582788216	0.0403431058	0.0423237652	0.05517117	0.0227460888	0.03823103408	0.0289354516	0.03531196536	0.0307244948	0.02661831376	0.03862697	0.0243802764	0.0420527502	0.0435745852	0.0719801824	0.01838941204	0.0353672956	0.03772485796	0.0367701804	0.02107227744	0.050965916	0.09950302	0.0751883908	0.052668124	0.033226835428	0.0421633884	0.049964872	0.045457232	0.02951510304	0.04858376572	0.0574340764	0.03178646788	0.047998406	0.189558562	0.021817796	0.036764058	0.0280998576	0.0245058748	0.04317631208	0.058744144	0.0301081	0.0293586188	0.02981286712	0.1883198324	0.0340254712	0.02985156	0.051005916	0.0373754448	0.04434930996	0.0521262976	0.0774645976	0.02694703812	0.0259235828	0.0433777088	0.051033387472	0.0321619552	0.0344056316	0.048921204	0.0502424404	0.02597967	0.0249378852	0.04461152	0.0663410808	0.0492195872	0.0830356808	0.0433455372	0.0269499576	0.0292361544	0.0474501392	0.022894529244	0.0356228556	0.055213186	0.0483060816	0.0745145012	0.0478421104	0.04203256004	0.0408070628	0.042580398	0.0328143528	0.047877102	0.0493067288	0.02580120392	0.04434344	0.0440846112	0.0430697012	0.0625681724	0.0341686464	0.0431917428	0.0327693968	0.0466719584	0.0291206468	0.0468861664	0.0419298736	0.0317007008	
ad	0.022337116	0.04010800004	0.0334564024	0.281905176	0.0259849124	0.0224755612	0.0298406044	0.02176638976	0.0158138348	0.0288485592	0.0440922436	0.03968078568	0.05768708	0.04695970188	0.0384502664	0.0683089972	0.0667111472	0.03875087916	0.0194074048	0.0874170744	0.031750802	0.033871356	0.0396923196	0.0263402792	0.0281059824	0.0327311108	0.03659140224	0.05484382	0.0662556704	0.0311916456	0.0580697968	0.0494979448	0.03046823664	0.0296132428	0.0288012112	0.0930386144	0.0451261812	0.0256101684	0.0187456512	0.029587967712	0.060187784	0.0194144888	0.03054711416	0.0426260332	0.0756147712	0.042625884	0.0493535196	0.071461088	0.107594908	0.0260588564	0.01860250376	0.0432077968	0.02427319724	0.04512306844	0.0620266176	0.02213343744	0.0446740006	0.074213628	0.0479110428	0.063889788	0.032264932	0.0269195512	0.0308415698	0.03190988328	0.03044020992	0.03972769256	0.02754373	0.0388733978	0.0712059368	0.057369768	0.116912552	0.03839196282	0.0528210788	0.034506204	0.0471152728	0.0475989512	0.0218271578	0.0360682218	0.02818081152	0.0340723696	0.056767061356	0.0237377428	0.05834792152	0.05050178572	0.04886338	0.06747373852	0.03584211528	0.0321901172	0.0252782904	0.03626152784	0.0492038412	0.0186216732	0.0554782928	0.02112765412	0.0337821436	0.039583824	0.0479058568	0.0272125504	0.0396603936	0.04270023976	0.0425149956	0.0552121668	0.058372204	0.0772530312	0.0249028556	0.0297807821076	0.0289493128	0.0418099548	0.0929645832	0.0267193392	0.0214783496	0.0277208828	0.02106403444	0.0344011172	0.0326898344	0.0331190424	0.0425317632	0.0500895988	0.0645296876	0.1289759424	0.1010633376	0.0370471016	0.0437558868	0.0494824512	0.0323954656	0.0505149372	0.0606699372	0.0666957912	0.0129067778	0.049380472	0.0538123776	0.0260030818	0.038986198	0.0228482008	0.035476208	0.04720547852	0.02301209888	0.0345212252	0.118426996	0.0357865772	0.0400595604	0.06301199552	0.1142766748	0.0244117688	0.0330861856	0.0273691268	0.037792988	0.0409177888	0.0263190056	0.0383331256	0.03173107904	0.029781632	0.0564728832	0.031243524	0.035797929	0.0161133924	0.03656083456	0.06307722	0.029107973	0.02765851124	0.0369953884	0.0748643372	0.025113376	0.0427712836	0.03679163696	0.066729436936	0.0447968496	0.0277310484	0.0245271696	0.0564128984	0.0568676312	0.06325618	0.02107063104	0.06276728	0.073869904	0.0414958028	0.0493383504	0.05893081648	0.0252928444	0.05255176192	0.03365687592	0.068062508	0.0748390624	0.0470553608	0.0400590356	0.0496925796	0.04893637824	0.078995684	0.06144278	0.03247754168	0.0521501036	0.0475245464	0.04921312288	0.0290293332	0.02138685188	0.0502584492	0.05750162	0.01994098496	0.0719716048	0.0336221636	0.0459151312	0.0562680092	0.06473305316	0.03810331472	0.0377833996	0.053610546	0.03477242352	
ae	0.0178604528	0.03325565412	0.03433044568	0.0259849124	0.31651693128	0.0464688756	0.02041701968	0.0103177832	0.02359066352	0.015963256	0.033498914	0.0322140624	0.0479513212	0.0444631624	0.0454227476	0.0467967952	0.0486154824	0.0334498004	0.04688737064	0.040913619848	0.03632018844	0.040913206	0.0371639062	0.02227925896	0.03282626	0.0254698204	0.03339475232	0.0489495564	0.04803690572	0.0446941528	0.02636352232	0.03554363422	0.0245246316	0.02119121696	0.04178268624	0.04498286664	0.05760078436	0.0353388368	0.0293104172	0.0221454672	0.04057836244	0.030591736	0.0395073912	0.0854255864	0.0368583308	0.03278841808	0.0333263116	0.028199814	0.044990278	0.05559563836	0.01532522024	0.02535356124	0.021373472972	0.025489176	0.0352830272	0.027387190344	0.03207386168	0.0655282826	0.04195820964	0.0447553532	0.0340682084	0.0426397316	0.02956702876	0.03875388524	0.0322037732	0.0272614552	0.0365303204	0.05857805188	0.038294726	0.039926558	0.0461961264	0.0299484492	0.04320740528	0.0530456464	0.0257900356	0.0322486078	0.039411648	0.0349479704	0.0232115066	0.0203689392	0.0381477872	0.01575527968	0.0456270196	0.0354710018	0.0513152064	0.0335097316	0.0558018356	0.0500182972	0.0238217094	0.02753684316	0.0262066334	0.0335624324	0.05453735744	0.02481237996	0.0297755576	0.0363694538	0.0399402586	0.02324225368	0.0274431816	0.0352933744	0.05629134	0.0658237864	0.0392109426	0.038188438	0.0292786352	0.02925326694	0.0242691176	0.0410904708	0.063155516	0.0378012552	0.0239768376	0.030210951	0.0211134716	0.027284699	0.0288290848	0.02672591424	0.032710912	0.0256901636	0.0348819184	0.037867086	0.0577418272	0.03612973904	0.0343148864	0.0288093168	0.0457193872	0.02400979	0.0431134724	0.04281626	0.01954648192	0.039329097	0.05028412012	0.0261641896	0.0453036432	0.02683959084	0.0282379596	0.0487376796	0.0271434128	0.03764211492	0.03657062076	0.02302890824	0.0247151192	0.039894854	0.0405558528	0.0354951992	0.0259482648	0.02445519944	0.0247042268	0.037518136	0.0422128232	0.03530142908	0.0404738484	0.0289144656	0.04642888704	0.0300007226667	0.0347689184	0.032883816452	0.04551952292	0.0325209448	0.051588585844	0.032347382	0.0299347368	0.0440341964	0.0341842408	0.0421522552	0.0230780468	0.0410344772	0.02994824424	0.027282344	0.03621810124	0.0540114068	0.0454326756	0.0401355768	0.0261490812	0.02722559064	0.0442553488	0.0574952744	0.0968571008	0.0359137972	0.0361644716	0.04705226648	0.033177222	0.0349573536	0.0426091012	0.0412296688	0.0543269732	0.0361570642	0.07854942	0.0746171764	0.043592543328	0.04537294636	0.0361022306	0.02603514796	0.073928312	0.0217031488	0.020489626	0.047483936	0.0486120916	0.09509345596	0.0483806972	0.04028197416	0.03770526104	0.0469179072	0.03619883176	0.02736555808	0.0320450616	0.0575695588	0.0230165664	
af	0.0272497888	0.039488334424	0.02708505112	0.0224755612	0.04646887	0.46075544	0.0165587692	0.0185336164	0.01686782872	0.0206562656	0.03584155624	0.0408849036	0.0174529886	0.0197591016	0.0174504004	0.03967924928	0.038178232	0.0287743562	0.02241532588	0.01743382676	0.02773371416	0.0442885912	0.0307788592	0.02593225488	0.02056232364	0.01566061468	0.0641045436	0.02704099644	0.02745340868	0.07496581272	0.038404148	0.057237078	0.0177530352	0.02002236412	0.0335509764	0.0302316756	0.0551345548	0.0439648716	0.0301035916	0.04528894296	0.0279701248	0.019153554	0.01640705084	0.05879810028	0.03416987396	0.0314418888	0.0268971288	0.0200527092	0.0293469752	0.0478040204	0.014386372	0.02955114772	0.02327337712	0.0252259004	0.0291412628	0.0489271504	0.02879792052	0.022063696	0.0322759368	0.024502502	0.02992845112	0.0426477688	0.0241725228	0.02877804	0.0220525556	0.0260237648	0.01929868	0.0469712216	0.0410968596	0.03032517516	0.02517198272	0.0339422528	0.0270327168	0.070460166	0.0191999876	0.04455339336	0.0186036148	0.0303178876	0.0229079532	0.021632778	0.036302344	0.037925694	0.0214845292	0.0215917366	0.04955875	0.02562200644	0.03568469996	0.02258469384	0.0168982636	0.0375515736	0.0304494076	0.0251766244	0.02380312752	0.0189587062	0.04314962832	0.025879329	0.0253149836	0.036105726	0.02993024104	0.0316201992	0.02835520912	0.02120101976	0.0302861024	0.0328549716	0.0274425108	0.0184498064	0.0320062944	0.03995537916	0.0289579688	0.1771658984	0.0344881876	0.017881314	0.034055919624	0.0404649844	0.0230036898	0.0261988768	0.028034485	0.02831491336	0.0324817664	0.0248398152	0.0382689368	0.024842086	0.0358375752	0.0351053364	0.03313200856	0.0296780824	0.0270253796	0.0361918656	0.0282396908	0.0289670504	0.0595913536	0.02558925512	0.04150606	0.0289334788	0.0619641648	0.02541796164	0.0479357528	0.02154599908	0.01716526592	0.0228857506	0.02529976024	0.0321773402	0.024401062	0.02700611704	0.04493897948	0.02221199844	0.0373676844	0.03218587096	0.0170504444	0.02184840408	0.0252420916	0.0514846372	0.0281025428	0.18668668	0.0249589732	0.02026266772	0.022009188072	0.0460022676	0.0505544944	0.029032376	0.03263328	0.0296588748	0.0283995128	0.0254745812	0.02786186712	0.0270965192	0.0317998488	0.02458774064	0.02081686208	0.04081661672	0.0267276148	0.06704325884	0.070950226	0.0285600728	0.0248338096	0.0354099652	0.0250206842	0.0513372892	0.0459315404	0.0289095864	0.044889582	0.024591644	0.01466974876	0.0792750896	0.0564804584	0.0377433228	0.047550646	0.0320916768	0.0388580596	0.03234212792	0.0956493208	0.02628496792	0.042811122952	0.0218380424	0.0786591524	0.0309755236	0.0299425612	0.033121304908	0.031526788	0.06178988152	0.047364014	0.0303813352	0.0394203008	0.01503809584	0.0305478532	0.055579142	0.01926801936	
ag	0.03184574256	0.0439754024	0.0369036084	0.0298406092	0.02041701996	0.0165587628	0.3675926556	0.0256285938	0.03912415	0.0373344804	0.0479277392	0.02511919636	0.028881028	0.032763042	0.05297336028	0.02111670052	0.0355959832	0.0326602264	0.0407337104	0.0440784664	0.02424147252	0.0322598876	0.02938008244	0.0412990396	0.0342354448	0.0218775856	0.0242276256	0.02273342436	0.0414387756	0.01798148296	0.0454902456	0.02952706492	0.0322729484	0.074508666	0.05016697804	0.03694143768	0.0313570196	0.0415786864	0.02417080248	0.06272870336	0.039829852	0.0204187768	0.025411254	0.0211613372	0.0253447076	0.0275418896	0.0378780512	0.03161052388	0.0321907144	0.033937999512	0.1264672128	0.092697864	0.036012022	0.02348239316	0.0354210172	0.0356208956	0.04927618444	0.0316714096	0.034931893	0.0576128276	0.033705176	0.0820023216	0.01665211116	0.0214161196	0.024225536	0.0415676044	0.0190032336	0.0347842292	0.02208147444	0.02523494404	0.039400068	0.0216003676	0.0266645412	0.0218421768	0.0270355932	0.02112669824	0.04241329628	0.02592431472	0.054004034	0.1494720512	0.04498896664	0.0878510584	0.0302307487056	0.0368652112	0.02492585672	0.0284010844	0.02879145828	0.0139013072	0.01822932684	0.02670982368	0.0264538387336	0.03048869	0.1050476468	0.1595172596	0.02198736984	0.02365408348	0.0390040484	0.0201654256	0.02192807088	0.0382789708	0.0270023728	0.0254210834	0.04130831	0.0327108316	0.139777888	0.03546537888	0.0187303944	0.041740578	0.0375132676	0.02174462584	0.01635668308	0.0505197168	0.179371976	0.0239128632	0.064166214144	0.0394606922	0.0308840112	0.020429116	0.0382352616	0.04310243772	0.0260488944	0.0239126484	0.0550650252	0.0260609852	0.0333985436	0.02868128352	0.0372087536	0.0257933536	0.0327122304	0.0314021004	0.0214464552	0.0316564088	0.02260883616	0.0571644096	0.0309339976	0.0362020936	0.0641381988	0.0489480464	0.021267796	0.05967556992	0.0431849864	0.034789462	0.0358458032	0.0306644232	0.0308833428	0.128823378	0.0744870316	0.023699788184	0.0315269244	0.032408966	0.031221248	0.01884198964	0.0411378984	0.0211862786667	0.0255626788	0.0212817244	0.0459407976	0.04420464024	0.021243926	0.1091117976	0.0348707412	0.03496501432	0.0246283632	0.0193091492	0.0271211096	0.0224391292	0.08485486112	0.0746128392	0.0216525988	0.0467480888	0.05403156624	0.029535995268	0.02755644212	0.0294680828	0.030020313	0.033578051564	0.03792839504	0.0357445432	0.0905802628	0.039828636	0.0350031104	0.027579861136	0.0170326504	0.0428151268	0.0534649624	0.075175712	0.026029862	0.045244732056	0.0645255208	0.03200816756	0.03494691908	0.0455825292	0.0403717276	0.02805387164	0.03226010108	0.0259925836	0.02997464072	0.0307206388	0.0370970596	0.056934734	0.0170881406	0.027852421968	0.0438000956	0.0298423744	0.0809050819668	0.0238406904	0.02221897072	
ah	0.01906313928	0.025549238196	0.021126443268	0.02176639316	0.01031778	0.018533622	0.02562859368	0.371146384	0.0191938808	0.022238316	0.0376836316	0.0256117112	0.03358372064	0.0205610096	0.0272458424	0.03368906584	0.04164853	0.0370195436	0.0225463118	0.0217951256	0.022166222288	0.03459329572	0.029168752	0.03467858768	0.030522299704	0.0213271688	0.04271917916	0.0366748908	0.02532065908	0.0273787868	0.0439894828	0.012885242	0.01962486568	0.029771312224	0.0236941818	0.0469575676	0.02450730268	0.0143550148	0.03359255308	0.02304034036	0.0221709184	0.02158328096	0.0255725408	0.04197559752	0.0202072812	0.02634314252	0.0427126284	0.0310402056	0.0288751116	0.03229338276	0.02062164828	0.0232584792	0.01460489568	0.03298267212	0.0495198508	0.022601792252	0.02567687396	0.03052162994	0.02697640744	0.0261180882	0.0382515148	0.0344492202	0.0195938038	0.02160442428	0.02956985792	0.0287865648	0.02804033048	0.03876194544	0.0345788772	0.0266711368	0.02067596876	0.0215707976	0.02319266912	0.0307031512	0.02005214916	0.024176634028	0.0141552052	0.0231752348	0.02564675852	0.0309045764	0.0305304064	0.029507074	0.028466925132	0.0189792232	0.02686932924	0.0274709992	0.04183889216	0.01861296496	0.01388021796	0.0249833668	0.0272249248	0.01708588196	0.0330587052	0.0346779	0.011047454	0.0237607142	0.0285763848	0.0185101768	0.02488963256	0.0368353004	0.017439131244	0.0284142672	0.02894031268	0.0295039556	0.0514598528	0.027764231092	0.023569898	0.04487084468	0.0241175412	0.02058690156	0.01152378752	0.0183591424	0.02382318196	0.03379463364	0.019194210936	0.0275156916	0.027027315372	0.03047002284	0.0313795376	0.02430628904	0.0331917324	0.0204362012	0.04263207628	0.0312641692	0.02601787068	0.03960478124	0.0271219616	0.0254100776	0.018536062	0.02460851724	0.02098126232	0.01928152856	0.0245297556	0.0213547988	0.0264958696	0.02478819812	0.03528229176	0.0289004888	0.01609037704	0.02450313788	0.0311430604	0.0241241676	0.0243377596	0.0186660824	0.0385008796	0.01837569864	0.0252020436	0.02249615984	0.0199890212	0.0298926192	0.02209138396	0.0137114612	0.03748986516	0.0236153966667	0.02353713952	0.0193150214	0.018469206	0.026672737564	0.027258179856	0.0304218568	0.0259451852	0.0351765996	0.02985052438	0.02226785868	0.0184297692	0.01662847108	0.01774210192	0.0249407704	0.0192322148	0.0285879162	0.0348330328	0.03216003232	0.0429288634	0.0321791408	0.0231510096	0.0351166836	0.0245440812	0.0386679092	0.02301853	0.036878318	0.0227062768	0.02736670124	0.01790194676	0.0291185944	0.0327240716	0.043771615976	0.03943354446	0.03236401708	0.0382259506	0.0310365672	0.0268229688	0.03047616408	0.0371479524	0.01734661696	0.020601522	0.0280285276	0.03327657	0.038848840852	0.0451993824	0.02171214972	0.0346711308	0.01429248208	0.0427510054	0.0262706368	0.02710020536	0.028525304	0.0231160788	
ai	0.01705086116	0.0423393404	0.0388665172	0.0158138376	0.02359065616	0.0168678272	0.0391241504	0.019193874	0.4049350612	0.0221167984	0.02040935524	0.0386905304	0.01407593736	0.020954717196	0.04308024412	0.01818611368	0.0668692232	0.032444148	0.01991566	0.0232819592	0.02060558616	0.0229356844	0.03634816744	0.072679014	0.04409643252	0.02708018384	0.024865612992	0.025766342	0.0298932532	0.0436955268	0.0314413528	0.03796712	0.07253298	0.030167264	0.019601944	0.0336447092	0.0360310642863	0.0563885132	0.0241609368	0.039261096	0.0222276528	0.02150968324	0.0249987684	0.02682891668	0.0311489356	0.045435836	0.0432133522	0.016151107956	0.0241367444	0.02177274796	0.0640415034	0.0698444188	0.0200640624	0.0289787048	0.0215659826	0.0207066636	0.0354158328	0.0214932796	0.01889344156	0.023318456	0.0412980084	0.0489830692	0.02316593264	0.0177598832	0.0193383848	0.0329823672	0.0553512012	0.0193829536	0.04693400944	0.02240553	0.0406480364	0.01709081252	0.05640640848	0.029930696	0.0063467848	0.06215986028	0.03073137644	0.0283350604	0.0229656656	0.02576966168	0.02364672356	0.03541461288	0.02216409928	0.0231957148	0.0323316984	0.0252066996	0.02523146816	0.0161106336	0.02880859724	0.04483640612	0.016358652372	0.0223057276	0.0240377416	0.03502330028	0.02202653616	0.0316884296	0.06076333088	0.02050068844	0.0273768104	0.1109196136	0.02296018712	0.0354215116	0.047373450192	0.0231718676	0.0365193612	0.0197640524	0.0312140872	0.0275213708	0.0253954292	0.02595543668	0.01835586896	0.0348883676	0.04190672916	0.024787538	0.0381701668	0.03226708136	0.0312503628	0.025675482	0.02020976	0.0315999368	0.0354766476	0.0257239312	0.07709249402	0.0559184716	0.0581604308	0.02920715092	0.02891375856	0.02134782944	0.01785242	0.02126384728	0.0339443668	0.031050297	0.029693916	0.05042298724	0.064413214	0.04385927244	0.0523356756	0.01687014736	0.0313243288	0.0404149368	0.02901268688	0.02896112836	0.0247097716	0.027640912	0.0305069816	0.0346433684	0.0592889376	0.0338732408	0.0303911068	0.0202786536	0.0333231454	0.0263141496	0.03151464696	0.0113838454	0.0143782016	0.0170449528	0.023839908	0.0355538992	0.0244919996	0.02818961648	0.02543056588	0.0381842916	0.0283308356	0.04983271912	0.02030001208	0.02400035512	0.06084379968	0.0438132812	0.00595599824	0.0355357372	0.0450675276	0.0534845304	0.0658537736	0.04505975208	0.0304308728	0.0389308692	0.01740056092	0.04581564	0.022501856	0.0326195268	0.0188438948	0.02516793572	0.01607547428	0.0286622836	0.0280075744	0.080479168	0.02291378676	0.0266451656	0.0432616148	0.017554486	0.032453004548	0.0644148908	0.0835579116	0.03195419456	0.03463759088	0.0236184392	0.04090513252	0.0238086344	0.050446326	0.0263531404	0.0274517788	0.0443147184	0.0306789552	0.0278755996	0.0253411712	0.02704183626	0.01579386028	
